,norm,alpha,beta
0,-inf,0.469973231941256,0.2659599414959887
1,2.0,0.18827627468199756,0.2730551470404263
2,inf,0.1953213612979922,0.11449582887903062
3,2.0,0.19973137681109687,0.3428248928939939
4,2.0,0.46975245574742613,0.3016837313488287
5,inf,0.42846098460934917,0.1398236416630581
6,inf,0.2943424284391272,0.3035498062146086
7,1.0,0.3365848986611614,0.016434237161022994
8,1.0,0.2925630973882326,0.04599451760862135
9,2.0,0.35587804115356253,0.18639650024780646
10,-inf,0.05713522441201022,0.4929186927163939
11,2.0,0.09469266546421433,0.2566152086634351
12,inf,0.011276822019033907,0.3932048281565358
13,2.0,0.29398927295543376,0.08277870004191461
14,inf,0.06668452943633203,0.3436766175914742
15,-inf,0.3861350447332446,0.4459683333269099
16,2.0,0.30747449564338214,0.06601134432017841
17,2.0,0.3997960672843792,0.016155791537024965
18,2.0,0.1057095351175138,0.18093725138528247
19,2.0,0.15389251275683866,0.11012874006799699
20,-inf,0.4666383780520296,0.3580653754415458
21,2.0,0.05880639967454928,0.053026757843889896
22,-inf,0.08105885942736674,0.45093956481065567
23,inf,0.48810710642053307,0.28009774766172646
24,-inf,0.19238133037235167,0.03764305393423137
25,1.0,0.3282790988045691,0.2726837857645198
26,2.0,0.1726434531830825,0.03614267779296084
27,-inf,0.18570120441458438,0.25945753048705317
28,2.0,0.30412726454313344,0.3642856941571934
29,2.0,0.3630030342862914,0.24454826490566597
30,2.0,0.04556887496574218,0.1697197049865246
31,inf,0.45646569146237864,0.4854946889811118
32,2.0,0.1844642111517834,0.04701209263012227
33,-inf,0.08829049396174767,0.2544775412230286
34,1.0,0.30806003501875556,0.46129686246365265
35,-inf,0.003935703547511705,0.43870683789022447
36,2.0,0.03963918730152521,0.17239119915684906
37,1.0,0.3038939171177548,0.416365728580111
38,inf,0.2152000297138978,0.16016708972327656
39,inf,0.23290907839448216,0.45127665723727606
40,-inf,0.4575864513272199,0.10052990619696112
41,1.0,0.40864529747240425,0.13805414467437416
42,2.0,0.3201927372221342,0.40146032918130725
43,inf,0.03922632074341225,0.041298556449828314
44,-inf,0.4046105964774364,0.45201074397528035
45,1.0,0.07408049973920705,0.07690353949684742
46,2.0,0.47287219233051425,0.25742738318087377
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,,,
228,,,
229,,,
230,,,
231,,,
232,,,
233,,,
234,,,
235,,,
236,,,
237,,,
238,,,
239,,,
240,,,
241,,,
242,,,
243,,,
244,,,
245,,,
246,,,
247,,,
248,,,
249,,,
250,,,
251,,,
252,,,
253,,,
254,,,
255,,,
256,,,
257,,,
258,,,
259,,,
260,,,
261,,,
262,,,
263,,,
264,,,
265,,,
266,,,
267,,,
268,,,
269,,,
270,,,
271,,,
272,,,
273,,,
274,,,
275,,,
276,,,
277,,,
278,,,
279,,,
280,,,
281,,,
282,,,
283,,,
284,,,
285,,,
286,,,
287,,,
288,,,
289,,,
290,,,
291,,,
292,,,
293,,,
294,,,
295,,,
296,,,
297,,,
298,,,
299,,,
300,,,
301,,,
302,,,
303,,,
304,,,
305,,,
306,,,
307,,,
308,,,
309,,,
310,,,
311,,,
312,,,
313,,,
314,,,
315,,,
316,,,
317,,,
318,,,
319,,,
320,,,
321,,,
322,,,
323,,,
324,,,
325,,,
326,,,
327,,,
328,,,
329,,,
330,,,
331,,,
332,,,
333,,,
334,,,
335,,,
336,,,
337,,,
338,,,
339,,,
340,,,
341,,,
342,,,
343,,,
344,,,
345,,,
346,,,
347,,,
348,,,
349,,,
350,,,
351,,,
352,,,
353,,,
354,,,
355,,,
356,,,
357,,,
358,,,
359,,,
360,,,
361,,,
362,,,
363,,,
364,,,
365,,,
366,,,
367,,,
368,,,
369,,,
370,,,
371,,,
372,,,
373,,,
374,,,
375,,,
376,,,
377,,,
378,,,
379,,,
380,,,
381,,,
382,,,
383,,,
384,,,
385,,,
386,,,
387,,,
388,,,
389,,,
390,,,
391,,,
392,,,
393,,,
394,,,
395,,,
396,,,
397,,,
398,,,
399,,,
400,,,
401,,,
402,,,
