SearchBayesianSkopt: argument save_model is 'last' but no recommender_input_args_last_test provided, saving best model on train data alone.SearchBayesianSkopt: New best config found. Config 0: {'epochs': 35, 'num_factors': 128, 'sgd_mode': 'adam', 'batch_size': 32, 'item_reg': 1.0319869779160993e-05, 'user_reg': 2.5029350478602385e-05, 'learning_rate': 0.01249084713085261} - results: PRECISION: 0.0097420, PRECISION_RECALL_MIN_DEN: 0.0097420, RECALL: 0.0011006, MAP: 0.0029891, MAP_MIN_DEN: 0.0029891, MRR: 0.0274434, NDCG: 0.0097593, F1: 0.0019778, HIT_RATE: 0.0903093, ARHR_ALL_HITS: 0.0286147, NOVELTY: 0.0072748, AVERAGE_POPULARITY: 0.0570133, DIVERSITY_MEAN_INTER_LIST: 0.9825416, DIVERSITY_HERFINDAHL: 0.9982470, COVERAGE_ITEM: 0.1290769, COVERAGE_ITEM_CORRECT: 0.0346642, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.0902564, DIVERSITY_GINI: 0.0347464, SHANNON_ENTROPY: 9.7154329, RATIO_DIVERSITY_HERFINDAHL: 0.9986322, RATIO_DIVERSITY_GINI: 0.1401461, RATIO_SHANNON_ENTROPY: 0.7841269, RATIO_AVERAGE_POPULARITY: 0.2809240, RATIO_NOVELTY: 0.0342282, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'epochs': 5, 'num_factors': 190, 'sgd_mode': 'adam', 'batch_size': 128, 'item_reg': 2.092869334424495e-05, 'user_reg': 0.0026893051023581275, 'learning_rate': 0.00016417532681001798} - results: PRECISION: 0.0019132, PRECISION_RECALL_MIN_DEN: 0.0019132, RECALL: 0.0002014, MAP: 0.0005641, MAP_MIN_DEN: 0.0005641, MRR: 0.0054955, NDCG: 0.0019030, F1: 0.0003645, HIT_RATE: 0.0186923, ARHR_ALL_HITS: 0.0055682, NOVELTY: 0.0091229, AVERAGE_POPULARITY: 0.0100317, DIVERSITY_MEAN_INTER_LIST: 0.9991154, DIVERSITY_HERFINDAHL: 0.9999042, COVERAGE_ITEM: 0.9024863, COVERAGE_ITEM_CORRECT: 0.0141204, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.0186813, DIVERSITY_GINI: 0.5495044, SHANNON_ENTROPY: 13.6297524, RATIO_DIVERSITY_HERFINDAHL: 1.0002901, RATIO_DIVERSITY_GINI: 2.2163708, RATIO_SHANNON_ENTROPY: 1.1000494, RATIO_AVERAGE_POPULARITY: 0.0494294, RATIO_NOVELTY: 0.0429235, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'epochs': 5, 'num_factors': 181, 'sgd_mode': 'adagrad', 'batch_size': 64, 'item_reg': 0.0010492727475546798, 'user_reg': 1.0974574771439057e-05, 'learning_rate': 0.0027025800614770327} - results: PRECISION: 0.0066486, PRECISION_RECALL_MIN_DEN: 0.0066644, RECALL: 0.0008630, MAP: 0.0019750, MAP_MIN_DEN: 0.0019772, MRR: 0.0187101, NDCG: 0.0066104, F1: 0.0015277, HIT_RATE: 0.0633338, ARHR_ALL_HITS: 0.0192139, NOVELTY: 0.0084020, AVERAGE_POPULARITY: 0.0349283, DIVERSITY_MEAN_INTER_LIST: 0.9990895, DIVERSITY_HERFINDAHL: 0.9999016, COVERAGE_ITEM: 0.9592447, COVERAGE_ITEM_CORRECT: 0.0420843, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.0632967, DIVERSITY_GINI: 0.5545844, SHANNON_ENTROPY: 13.6534258, RATIO_DIVERSITY_HERFINDAHL: 1.0002875, RATIO_DIVERSITY_GINI: 2.2368606, RATIO_SHANNON_ENTROPY: 1.1019600, RATIO_AVERAGE_POPULARITY: 0.1721036, RATIO_NOVELTY: 0.0395315, 
SearchBayesianSkopt: New best config found. Config 3: {'epochs': 45, 'num_factors': 91, 'sgd_mode': 'adam', 'batch_size': 8, 'item_reg': 1.2963711715769343e-05, 'user_reg': 1.2154012544686041e-05, 'learning_rate': 0.02040925481179943} - results: PRECISION: 0.0307799, PRECISION_RECALL_MIN_DEN: 0.0307991, RECALL: 0.0038627, MAP: 0.0098592, MAP_MIN_DEN: 0.0098659, MRR: 0.0794598, NDCG: 0.0304984, F1: 0.0068640, HIT_RATE: 0.2518692, ARHR_ALL_HITS: 0.0884734, NOVELTY: 0.0064355, AVERAGE_POPULARITY: 0.1565943, DIVERSITY_MEAN_INTER_LIST: 0.9710893, DIVERSITY_HERFINDAHL: 0.9971018, COVERAGE_ITEM: 0.0570353, COVERAGE_ITEM_CORRECT: 0.0404784, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.2517216, DIVERSITY_GINI: 0.0209777, SHANNON_ENTROPY: 8.9704683, RATIO_DIVERSITY_HERFINDAHL: 0.9974867, RATIO_DIVERSITY_GINI: 0.0846114, RATIO_SHANNON_ENTROPY: 0.7240013, RATIO_AVERAGE_POPULARITY: 0.7715932, RATIO_NOVELTY: 0.0302790, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'epochs': 5, 'num_factors': 64, 'sgd_mode': 'adagrad', 'batch_size': 256, 'item_reg': 0.005055621862277971, 'user_reg': 6.254511477629469e-05, 'learning_rate': 0.004952717071387074} - results: PRECISION: 0.0089796, PRECISION_RECALL_MIN_DEN: 0.0089896, RECALL: 0.0010513, MAP: 0.0026608, MAP_MIN_DEN: 0.0026628, MRR: 0.0249078, NDCG: 0.0088899, F1: 0.0018823, HIT_RATE: 0.0841519, ARHR_ALL_HITS: 0.0257490, NOVELTY: 0.0076239, AVERAGE_POPULARITY: 0.0512706, DIVERSITY_MEAN_INTER_LIST: 0.9972234, DIVERSITY_HERFINDAHL: 0.9997150, COVERAGE_ITEM: 0.6435019, COVERAGE_ITEM_CORRECT: 0.0526607, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.0841026, DIVERSITY_GINI: 0.2362536, SHANNON_ENTROPY: 12.4479353, RATIO_DIVERSITY_HERFINDAHL: 1.0001009, RATIO_DIVERSITY_GINI: 0.9529052, RATIO_SHANNON_ENTROPY: 1.0046656, RATIO_AVERAGE_POPULARITY: 0.2526274, RATIO_NOVELTY: 0.0358704, 
SearchBayesianSkopt: New best config found. Config 5: {'epochs': 90, 'num_factors': 85, 'sgd_mode': 'adam', 'batch_size': 1024, 'item_reg': 0.00023143487662890923, 'user_reg': 0.008598114971900673, 'learning_rate': 0.004945870592286572} - results: PRECISION: 0.0278991, PRECISION_RECALL_MIN_DEN: 0.0279066, RECALL: 0.0036459, MAP: 0.0108757, MAP_MIN_DEN: 0.0108772, MRR: 0.0936847, NDCG: 0.0312901, F1: 0.0064490, HIT_RATE: 0.2375018, ARHR_ALL_HITS: 0.1009788, NOVELTY: 0.0076398, AVERAGE_POPULARITY: 0.1238686, DIVERSITY_MEAN_INTER_LIST: 0.5606744, DIVERSITY_HERFINDAHL: 0.9560633, COVERAGE_ITEM: 0.1479041, COVERAGE_ITEM_CORRECT: 0.0064788, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.2373626, DIVERSITY_GINI: 0.0077226, SHANNON_ENTROPY: 5.8228215, RATIO_DIVERSITY_HERFINDAHL: 0.9564323, RATIO_DIVERSITY_GINI: 0.0311483, RATIO_SHANNON_ENTROPY: 0.4699565, RATIO_AVERAGE_POPULARITY: 0.6103426, RATIO_NOVELTY: 0.0359455, 
SearchBayesianSkopt: New best config found. Config 6: {'epochs': 75, 'num_factors': 101, 'sgd_mode': 'adam', 'batch_size': 512, 'item_reg': 0.005974910735441299, 'user_reg': 0.005427505231981678, 'learning_rate': 0.015502505793296652} - results: PRECISION: 0.0677833, PRECISION_RECALL_MIN_DEN: 0.0678427, RECALL: 0.0092958, MAP: 0.0241972, MAP_MIN_DEN: 0.0242242, MRR: 0.1626268, NDCG: 0.0677178, F1: 0.0163495, HIT_RATE: 0.4632752, ARHR_ALL_HITS: 0.1978398, NOVELTY: 0.0061105, AVERAGE_POPULARITY: 0.2852268, DIVERSITY_MEAN_INTER_LIST: 0.8726327, DIVERSITY_HERFINDAHL: 0.9872569, COVERAGE_ITEM: 0.0562047, COVERAGE_ITEM_CORRECT: 0.0192148, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.4630037, DIVERSITY_GINI: 0.0072590, SHANNON_ENTROPY: 7.2978180, RATIO_DIVERSITY_HERFINDAHL: 0.9876379, RATIO_DIVERSITY_GINI: 0.0292785, RATIO_SHANNON_ENTROPY: 0.5890026, RATIO_AVERAGE_POPULARITY: 1.4054092, RATIO_NOVELTY: 0.0287498, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'epochs': 10, 'num_factors': 120, 'sgd_mode': 'adam', 'batch_size': 512, 'item_reg': 0.0005159418830868262, 'user_reg': 0.0014364643861198769, 'learning_rate': 0.05648149063534635} - results: PRECISION: 0.0091775, PRECISION_RECALL_MIN_DEN: 0.0092318, RECALL: 0.0014234, MAP: 0.0034716, MAP_MIN_DEN: 0.0034888, MRR: 0.0324871, NDCG: 0.0103793, F1: 0.0024646, HIT_RATE: 0.0864976, ARHR_ALL_HITS: 0.0335536, NOVELTY: 0.0094041, AVERAGE_POPULARITY: 0.0429401, DIVERSITY_MEAN_INTER_LIST: 0.9754500, DIVERSITY_HERFINDAHL: 0.9975379, COVERAGE_ITEM: 0.2912675, COVERAGE_ITEM_CORRECT: 0.0121823, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.0864469, DIVERSITY_GINI: 0.0567254, SHANNON_ENTROPY: 10.0631951, RATIO_DIVERSITY_HERFINDAHL: 0.9979229, RATIO_DIVERSITY_GINI: 0.2287960, RATIO_SHANNON_ENTROPY: 0.8121946, RATIO_AVERAGE_POPULARITY: 0.2115802, RATIO_NOVELTY: 0.0442466, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'epochs': 10, 'num_factors': 97, 'sgd_mode': 'sgd', 'batch_size': 1024, 'item_reg': 0.0002651512272005752, 'user_reg': 0.0025424374086210314, 'learning_rate': 0.0003430125108713072} - results: PRECISION: 0.0043982, PRECISION_RECALL_MIN_DEN: 0.0044000, RECALL: 0.0005768, MAP: 0.0012483, MAP_MIN_DEN: 0.0012501, MRR: 0.0122026, NDCG: 0.0043070, F1: 0.0010199, HIT_RATE: 0.0430289, ARHR_ALL_HITS: 0.0123427, NOVELTY: 0.0088829, AVERAGE_POPULARITY: 0.0237379, DIVERSITY_MEAN_INTER_LIST: 0.9990306, DIVERSITY_HERFINDAHL: 0.9998957, COVERAGE_ITEM: 0.9323883, COVERAGE_ITEM_CORRECT: 0.0281854, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.0430037, DIVERSITY_GINI: 0.5242085, SHANNON_ENTROPY: 13.5796440, RATIO_DIVERSITY_HERFINDAHL: 1.0002817, RATIO_DIVERSITY_GINI: 2.1143424, RATIO_SHANNON_ENTROPY: 1.0960051, RATIO_AVERAGE_POPULARITY: 0.1169648, RATIO_NOVELTY: 0.0417941, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'epochs': 5, 'num_factors': 61, 'sgd_mode': 'adagrad', 'batch_size': 8, 'item_reg': 2.402352863849558e-05, 'user_reg': 0.00038558788779810067, 'learning_rate': 0.0010529652522688283} - results: PRECISION: 0.0090896, PRECISION_RECALL_MIN_DEN: 0.0091163, RECALL: 0.0012378, MAP: 0.0028561, MAP_MIN_DEN: 0.0028709, MRR: 0.0269213, NDCG: 0.0093034, F1: 0.0021789, HIT_RATE: 0.0858379, ARHR_ALL_HITS: 0.0277183, NOVELTY: 0.0084126, AVERAGE_POPULARITY: 0.0440815, DIVERSITY_MEAN_INTER_LIST: 0.9985736, DIVERSITY_HERFINDAHL: 0.9998500, COVERAGE_ITEM: 0.8559721, COVERAGE_ITEM_CORRECT: 0.0439116, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.0857875, DIVERSITY_GINI: 0.4076749, SHANNON_ENTROPY: 13.2281801, RATIO_DIVERSITY_HERFINDAHL: 1.0002359, RATIO_DIVERSITY_GINI: 1.6443157, RATIO_SHANNON_ENTROPY: 1.0676387, RATIO_AVERAGE_POPULARITY: 0.2172043, RATIO_NOVELTY: 0.0395816, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'epochs': 20, 'num_factors': 59, 'sgd_mode': 'adam', 'batch_size': 128, 'item_reg': 0.00035151639653617267, 'user_reg': 0.000261536094560288, 'learning_rate': 0.005599922794191175} - results: PRECISION: 0.0175121, PRECISION_RECALL_MIN_DEN: 0.0175188, RECALL: 0.0021520, MAP: 0.0054731, MAP_MIN_DEN: 0.0054758, MRR: 0.0485471, NDCG: 0.0175790, F1: 0.0038330, HIT_RATE: 0.1565753, ARHR_ALL_HITS: 0.0515698, NOVELTY: 0.0070089, AVERAGE_POPULARITY: 0.0976515, DIVERSITY_MEAN_INTER_LIST: 0.9526149, DIVERSITY_HERFINDAHL: 0.9952545, COVERAGE_ITEM: 0.1361094, COVERAGE_ITEM_CORRECT: 0.0332244, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.1564835, DIVERSITY_GINI: 0.0221086, SHANNON_ENTROPY: 8.8846813, RATIO_DIVERSITY_HERFINDAHL: 0.9956386, RATIO_DIVERSITY_GINI: 0.0891729, RATIO_SHANNON_ENTROPY: 0.7170774, RATIO_AVERAGE_POPULARITY: 0.4811617, RATIO_NOVELTY: 0.0329768, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'epochs': 5, 'num_factors': 42, 'sgd_mode': 'adagrad', 'batch_size': 16, 'item_reg': 4.627370882566627e-05, 'user_reg': 2.885667416244707e-05, 'learning_rate': 0.0012707016896651218} - results: PRECISION: 0.0153863, PRECISION_RECALL_MIN_DEN: 0.0154077, RECALL: 0.0020747, MAP: 0.0047421, MAP_MIN_DEN: 0.0047467, MRR: 0.0427956, NDCG: 0.0153916, F1: 0.0036563, HIT_RATE: 0.1390559, ARHR_ALL_HITS: 0.0450727, NOVELTY: 0.0078527, AVERAGE_POPULARITY: 0.0790088, DIVERSITY_MEAN_INTER_LIST: 0.9974778, DIVERSITY_HERFINDAHL: 0.9997405, COVERAGE_ITEM: 0.7112797, COVERAGE_ITEM_CORRECT: 0.0515532, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.1389744, DIVERSITY_GINI: 0.2787754, SHANNON_ENTROPY: 12.6552904, RATIO_DIVERSITY_HERFINDAHL: 1.0001263, RATIO_DIVERSITY_GINI: 1.1244126, RATIO_SHANNON_ENTROPY: 1.0214011, RATIO_AVERAGE_POPULARITY: 0.3893033, RATIO_NOVELTY: 0.0369469, 
