SearchBayesianSkopt: New best config found. Config 0: {'epochs': 45, 'sgd_mode': 'adam', 'topK': 296, 'lambda_i': 0.0018511718298227322, 'lambda_j': 0.001709811998404874, 'learning_rate': 0.0003580199559781649} - results: PRECISION: 0.3251795, PRECISION_RECALL_MIN_DEN: 0.3264627, RECALL: 0.0547400, MAP: 0.1961201, MAP_MIN_DEN: 0.1967027, MRR: 0.6088472, NDCG: 0.3475375, F1: 0.0937057, HIT_RATE: 0.9401290, ARHR_ALL_HITS: 1.0745058, NOVELTY: 0.0051953, AVERAGE_POPULARITY: 0.7189123, DIVERSITY_MEAN_INTER_LIST: 0.6978358, DIVERSITY_HERFINDAHL: 0.9697785, COVERAGE_ITEM: 0.0207099, COVERAGE_ITEM_CORRECT: 0.0108533, COVERAGE_USER: 0.9997070, COVERAGE_USER_CORRECT: 0.9398535, DIVERSITY_GINI: 0.0018829, SHANNON_ENTROPY: 5.4351610, RATIO_DIVERSITY_HERFINDAHL: 0.9701526, RATIO_DIVERSITY_GINI: 0.0075915, RATIO_SHANNON_ENTROPY: 0.4386513, RATIO_AVERAGE_POPULARITY: 3.5490226, RATIO_NOVELTY: 0.0244431, 
SearchBayesianSkopt: New best config found. Config 1: {'epochs': 490, 'sgd_mode': 'sgd', 'topK': 123, 'lambda_i': 0.00046529645623116496, 'lambda_j': 2.8694483078647373e-05, 'learning_rate': 0.00022735582938938513} - results: PRECISION: 0.3455518, PRECISION_RECALL_MIN_DEN: 0.3471794, RECALL: 0.0603455, MAP: 0.2098771, MAP_MIN_DEN: 0.2106575, MRR: 0.6256037, NDCG: 0.3667444, F1: 0.1027476, HIT_RATE: 0.9541258, ARHR_ALL_HITS: 1.1264879, NOVELTY: 0.0052494, AVERAGE_POPULARITY: 0.6846888, DIVERSITY_MEAN_INTER_LIST: 0.7542668, DIVERSITY_HERFINDAHL: 0.9754212, COVERAGE_ITEM: 0.0261919, COVERAGE_ITEM_CORRECT: 0.0151725, COVERAGE_USER: 0.9997070, COVERAGE_USER_CORRECT: 0.9538462, DIVERSITY_GINI: 0.0025036, SHANNON_ENTROPY: 5.8641122, RATIO_DIVERSITY_HERFINDAHL: 0.9757975, RATIO_DIVERSITY_GINI: 0.0100940, RATIO_SHANNON_ENTROPY: 0.4732703, RATIO_AVERAGE_POPULARITY: 3.3800728, RATIO_NOVELTY: 0.0246974, 
SearchBayesianSkopt: New best config found. Config 0: {'epochs': 195, 'sgd_mode': 'sgd', 'topK': 262, 'lambda_i': 7.240068786018885e-05, 'lambda_j': 0.00019095045121198475, 'learning_rate': 0.0048173051672277395} - results: PRECISION: 0.3717490, PRECISION_RECALL_MIN_DEN: 0.3738156, RECALL: 0.0661016, MAP: 0.2264965, MAP_MIN_DEN: 0.2276343, MRR: 0.6345194, NDCG: 0.3887577, F1: 0.1122447, HIT_RATE: 0.9643014, ARHR_ALL_HITS: 1.1772706, NOVELTY: 0.0054004, AVERAGE_POPULARITY: 0.6134864, DIVERSITY_MEAN_INTER_LIST: 0.8344846, DIVERSITY_HERFINDAHL: 0.9834423, COVERAGE_ITEM: 0.0447422, COVERAGE_ITEM_CORRECT: 0.0300127, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.9637363, DIVERSITY_GINI: 0.0051285, SHANNON_ENTROPY: 6.8020922, RATIO_DIVERSITY_HERFINDAHL: 0.9838218, RATIO_DIVERSITY_GINI: 0.0206957, RATIO_SHANNON_ENTROPY: 0.5490121, RATIO_AVERAGE_POPULARITY: 2.9903805, RATIO_NOVELTY: 0.0254100, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'epochs': 80, 'sgd_mode': 'adam', 'topK': 609, 'lambda_i': 0.0012215824239649423, 'lambda_j': 0.00010137426296710322, 'learning_rate': 0.04516529338784725} - results: PRECISION: 0.3264038, PRECISION_RECALL_MIN_DEN: 0.3277752, RECALL: 0.0547596, MAP: 0.1973259, MAP_MIN_DEN: 0.1980997, MRR: 0.6116352, NDCG: 0.3491385, F1: 0.0937852, HIT_RATE: 0.9417974, ARHR_ALL_HITS: 1.0793649, NOVELTY: 0.0052332, AVERAGE_POPULARITY: 0.6981793, DIVERSITY_MEAN_INTER_LIST: 0.7460992, DIVERSITY_HERFINDAHL: 0.9746045, COVERAGE_ITEM: 0.0219835, COVERAGE_ITEM_CORRECT: 0.0114624, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.9412454, DIVERSITY_GINI: 0.0022161, SHANNON_ENTROPY: 5.6960445, RATIO_DIVERSITY_HERFINDAHL: 0.9749805, RATIO_DIVERSITY_GINI: 0.0089428, RATIO_SHANNON_ENTROPY: 0.4597405, RATIO_AVERAGE_POPULARITY: 3.4032077, RATIO_NOVELTY: 0.0246230, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'epochs': 185, 'sgd_mode': 'sgd', 'topK': 273, 'lambda_i': 0.0001755539231540884, 'lambda_j': 0.0014399878539002714, 'learning_rate': 0.002203824259064332} - results: PRECISION: 0.3585691, PRECISION_RECALL_MIN_DEN: 0.3606446, RECALL: 0.0633216, MAP: 0.2174970, MAP_MIN_DEN: 0.2185703, MRR: 0.6289478, NDCG: 0.3773675, F1: 0.1076354, HIT_RATE: 0.9619557, ARHR_ALL_HITS: 1.1491448, NOVELTY: 0.0053235, AVERAGE_POPULARITY: 0.6537752, DIVERSITY_MEAN_INTER_LIST: 0.7851269, DIVERSITY_HERFINDAHL: 0.9785069, COVERAGE_ITEM: 0.0337782, COVERAGE_ITEM_CORRECT: 0.0230356, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.9613919, DIVERSITY_GINI: 0.0034673, SHANNON_ENTROPY: 6.2727345, RATIO_DIVERSITY_HERFINDAHL: 0.9788845, RATIO_DIVERSITY_GINI: 0.0139922, RATIO_SHANNON_ENTROPY: 0.5062864, RATIO_AVERAGE_POPULARITY: 3.1867639, RATIO_NOVELTY: 0.0250480, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'epochs': 95, 'sgd_mode': 'sgd', 'topK': 390, 'lambda_i': 0.00014093951780041049, 'lambda_j': 0.00021003077441035005, 'learning_rate': 0.002765564222593719} - results: PRECISION: 0.3509529, PRECISION_RECALL_MIN_DEN: 0.3529001, RECALL: 0.0617450, MAP: 0.2124240, MAP_MIN_DEN: 0.2134050, MRR: 0.6259969, NDCG: 0.3709135, F1: 0.1050143, HIT_RATE: 0.9597566, ARHR_ALL_HITS: 1.1338634, NOVELTY: 0.0052935, AVERAGE_POPULARITY: 0.6689851, DIVERSITY_MEAN_INTER_LIST: 0.7704908, DIVERSITY_HERFINDAHL: 0.9770434, COVERAGE_ITEM: 0.0290160, COVERAGE_ITEM_CORRECT: 0.0186057, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.9591941, DIVERSITY_GINI: 0.0029033, SHANNON_ENTROPY: 6.0629119, RATIO_DIVERSITY_HERFINDAHL: 0.9774205, RATIO_DIVERSITY_GINI: 0.0117159, RATIO_SHANNON_ENTROPY: 0.4893512, RATIO_AVERAGE_POPULARITY: 3.2609034, RATIO_NOVELTY: 0.0249071, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'epochs': 40, 'sgd_mode': 'adam', 'topK': 774, 'lambda_i': 3.030491912210098e-05, 'lambda_j': 0.008371477744910058, 'learning_rate': 0.0957088141736607} - results: PRECISION: 0.3134071, PRECISION_RECALL_MIN_DEN: 0.3146674, RECALL: 0.0516901, MAP: 0.1871665, MAP_MIN_DEN: 0.1878539, MRR: 0.5985869, NDCG: 0.3354964, F1: 0.0887437, HIT_RATE: 0.9321947, ARHR_ALL_HITS: 1.0387862, NOVELTY: 0.0052209, AVERAGE_POPULARITY: 0.7062178, DIVERSITY_MEAN_INTER_LIST: 0.7037481, DIVERSITY_HERFINDAHL: 0.9703696, COVERAGE_ITEM: 0.0188272, COVERAGE_ITEM_CORRECT: 0.0101888, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.9316484, DIVERSITY_GINI: 0.0019002, SHANNON_ENTROPY: 5.4660781, RATIO_DIVERSITY_HERFINDAHL: 0.9707441, RATIO_DIVERSITY_GINI: 0.0076682, RATIO_SHANNON_ENTROPY: 0.4411794, RATIO_AVERAGE_POPULARITY: 3.4423903, RATIO_NOVELTY: 0.0245652, 
SearchBayesianSkopt: New best config found. Config 0: {'epochs': 125, 'sgd_mode': 'adam', 'topK': 341, 'lambda_i': 3.5748544898593075e-05, 'lambda_j': 0.0005772268051647908, 'learning_rate': 0.03177118567968773} - results: PRECISION: 0.3250147, PRECISION_RECALL_MIN_DEN: 0.3262309, RECALL: 0.0546056, MAP: 0.1951900, MAP_MIN_DEN: 0.1958929, MRR: 0.6097645, NDCG: 0.3470391, F1: 0.0935020, HIT_RATE: 0.9416593, ARHR_ALL_HITS: 1.0718624, NOVELTY: 0.0052457, AVERAGE_POPULARITY: 0.6826527, DIVERSITY_MEAN_INTER_LIST: 0.7554510, DIVERSITY_HERFINDAHL: 0.9755396, COVERAGE_ITEM: 0.0236447, COVERAGE_ITEM_CORRECT: 0.0126253, COVERAGE_USER: 0.9995604, COVERAGE_USER_CORRECT: 0.9412454, DIVERSITY_GINI: 0.0023492, SHANNON_ENTROPY: 5.7867821, RATIO_DIVERSITY_HERFINDAHL: 0.9759162, RATIO_DIVERSITY_GINI: 0.0094767, RATIO_SHANNON_ENTROPY: 0.4670582, RATIO_AVERAGE_POPULARITY: 3.3507906, RATIO_NOVELTY: 0.0246817, 
SearchBayesianSkopt: New best config found. Config 1: {'epochs': 30, 'sgd_mode': 'adam', 'topK': 531, 'lambda_i': 0.0003251556553043856, 'lambda_j': 1.7958537994163162e-05, 'learning_rate': 0.00156115164408404} - results: PRECISION: 0.3247581, PRECISION_RECALL_MIN_DEN: 0.3260856, RECALL: 0.0548495, MAP: 0.1956596, MAP_MIN_DEN: 0.1964197, MRR: 0.6094305, NDCG: 0.3474320, F1: 0.0938485, HIT_RATE: 0.9434184, ARHR_ALL_HITS: 1.0740936, NOVELTY: 0.0052044, AVERAGE_POPULARITY: 0.7146999, DIVERSITY_MEAN_INTER_LIST: 0.7148921, DIVERSITY_HERFINDAHL: 0.9714840, COVERAGE_ITEM: 0.0176089, COVERAGE_ITEM_CORRECT: 0.0101888, COVERAGE_USER: 0.9995604, COVERAGE_USER_CORRECT: 0.9430037, DIVERSITY_GINI: 0.0019349, SHANNON_ENTROPY: 5.4950440, RATIO_DIVERSITY_HERFINDAHL: 0.9718590, RATIO_DIVERSITY_GINI: 0.0078056, RATIO_SHANNON_ENTROPY: 0.4435117, RATIO_AVERAGE_POPULARITY: 3.5080937, RATIO_NOVELTY: 0.0244874, 
SearchBayesianSkopt: New best config found. Config 2: {'epochs': 55, 'sgd_mode': 'adam', 'topK': 222, 'lambda_i': 0.0035422071611413914, 'lambda_j': 0.003493907968854213, 'learning_rate': 0.0012415353018729398} - results: PRECISION: 0.3344181, PRECISION_RECALL_MIN_DEN: 0.3357772, RECALL: 0.0569298, MAP: 0.2030051, MAP_MIN_DEN: 0.2038126, MRR: 0.6175514, NDCG: 0.3570382, F1: 0.0972963, HIT_RATE: 0.9463500, ARHR_ALL_HITS: 1.1015101, NOVELTY: 0.0052226, AVERAGE_POPULARITY: 0.7028347, DIVERSITY_MEAN_INTER_LIST: 0.7442538, DIVERSITY_HERFINDAHL: 0.9744199, COVERAGE_ITEM: 0.0247522, COVERAGE_ITEM_CORRECT: 0.0142865, COVERAGE_USER: 0.9995604, COVERAGE_USER_CORRECT: 0.9459341, DIVERSITY_GINI: 0.0022856, SHANNON_ENTROPY: 5.7348472, RATIO_DIVERSITY_HERFINDAHL: 0.9747961, RATIO_DIVERSITY_GINI: 0.0092202, RATIO_SHANNON_ENTROPY: 0.4628665, RATIO_AVERAGE_POPULARITY: 3.4498537, RATIO_NOVELTY: 0.0245728, 
SearchBayesianSkopt: New best config found. Config 3: {'epochs': 90, 'sgd_mode': 'adam', 'topK': 153, 'lambda_i': 2.063705275025647e-05, 'lambda_j': 1.2816042477176843e-05, 'learning_rate': 0.001574012524078815} - results: PRECISION: 0.3386030, PRECISION_RECALL_MIN_DEN: 0.3401259, RECALL: 0.0580529, MAP: 0.2063880, MAP_MIN_DEN: 0.2072156, MRR: 0.6215558, NDCG: 0.3614148, F1: 0.0991130, HIT_RATE: 0.9479625, ARHR_ALL_HITS: 1.1147433, NOVELTY: 0.0052370, AVERAGE_POPULARITY: 0.6922231, DIVERSITY_MEAN_INTER_LIST: 0.7689697, DIVERSITY_HERFINDAHL: 0.9768913, COVERAGE_ITEM: 0.0261919, COVERAGE_ITEM_CORRECT: 0.0154494, COVERAGE_USER: 0.9995604, COVERAGE_USER_CORRECT: 0.9475458, DIVERSITY_GINI: 0.0026030, SHANNON_ENTROPY: 5.9274384, RATIO_DIVERSITY_HERFINDAHL: 0.9772684, RATIO_DIVERSITY_GINI: 0.0105007, RATIO_SHANNON_ENTROPY: 0.4784108, RATIO_AVERAGE_POPULARITY: 3.3977667, RATIO_NOVELTY: 0.0246405, 
