SearchBayesianSkopt: New best config found. Config 0: {'l1_ratio': 0.13288364378896958, 'topK': 174, 'alpha': 0.8113194010514864, 'positive_only': False, 'workers': 8} - results: PRECISION: 0.2875037, PRECISION_RECALL_MIN_DEN: 0.2883872, RECALL: 0.0463790, MAP: 0.1724128, MAP_MIN_DEN: 0.1728713, MRR: 0.5880869, NDCG: 0.3141978, F1: 0.0798731, HIT_RATE: 0.9110965, ARHR_ALL_HITS: 0.9900360, NOVELTY: 0.0051843, AVERAGE_POPULARITY: 0.7428479, DIVERSITY_MEAN_INTER_LIST: 0.6200938, DIVERSITY_HERFINDAHL: 0.9620048, COVERAGE_ITEM: 0.0063680, COVERAGE_ITEM_CORRECT: 0.0030456, COVERAGE_USER: 0.9995604, COVERAGE_USER_CORRECT: 0.9106960, DIVERSITY_GINI: 0.0013876, SHANNON_ENTROPY: 4.9091990, RATIO_DIVERSITY_HERFINDAHL: 0.9623731, RATIO_DIVERSITY_GINI: 0.0055247, RATIO_SHANNON_ENTROPY: 0.3957190, RATIO_AVERAGE_POPULARITY: 3.6605938, RATIO_NOVELTY: 0.0242725, 
SearchBayesianSkopt: New best config found. Config 0: {'l1_ratio': 0.009399338335277865, 'topK': 426, 'alpha': 0.45589827291924323, 'workers': 10} - results: PRECISION: 0.3681565, PRECISION_RECALL_MIN_DEN: 0.3695762, RECALL: 0.0641241, MAP: 0.2270584, MAP_MIN_DEN: 0.2277995, MRR: 0.6361518, NDCG: 0.3873062, F1: 0.1092239, HIT_RATE: 0.9608734, ARHR_ALL_HITS: 1.1807189, NOVELTY: 0.0052583, AVERAGE_POPULARITY: 0.6803493, DIVERSITY_MEAN_INTER_LIST: 0.8038287, DIVERSITY_HERFINDAHL: 0.9803770, COVERAGE_ITEM: 0.0284623, COVERAGE_ITEM_CORRECT: 0.0165015, COVERAGE_USER: 0.9998535, COVERAGE_USER_CORRECT: 0.9607326, DIVERSITY_GINI: 0.0032162, SHANNON_ENTROPY: 6.2372896, RATIO_DIVERSITY_HERFINDAHL: 0.9807523, RATIO_DIVERSITY_GINI: 0.0128100, RATIO_SHANNON_ENTROPY: 0.5027816, RATIO_AVERAGE_POPULARITY: 3.3437807, RATIO_NOVELTY: 0.0246193, 
SearchBayesianSkopt: New best config found. Config 0: {'l1_ratio': 2.5782581395202724e-05, 'topK': 762, 'alpha': 0.3678862209516608, 'workers': 8} - results: PRECISION: 0.3738802, PRECISION_RECALL_MIN_DEN: 0.3752883, RECALL: 0.0647998, MAP: 0.2287791, MAP_MIN_DEN: 0.2294329, MRR: 0.6312698, NDCG: 0.3901952, F1: 0.1104557, HIT_RATE: 0.9633458, ARHR_ALL_HITS: 1.1816485, NOVELTY: 0.0053837, AVERAGE_POPULARITY: 0.6138591, DIVERSITY_MEAN_INTER_LIST: 0.8691466, DIVERSITY_HERFINDAHL: 0.9869083, COVERAGE_ITEM: 0.0512764, COVERAGE_ITEM_CORRECT: 0.0338889, COVERAGE_USER: 0.9993407, COVERAGE_USER_CORRECT: 0.9627106, DIVERSITY_GINI: 0.0059239, SHANNON_ENTROPY: 7.0467599, RATIO_DIVERSITY_HERFINDAHL: 0.9872865, RATIO_DIVERSITY_GINI: 0.0235894, RATIO_SHANNON_ENTROPY: 0.5680486, RATIO_AVERAGE_POPULARITY: 3.0175559, RATIO_NOVELTY: 0.0252071, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'l1_ratio': 0.03530332301851988, 'topK': 891, 'alpha': 0.7791948059730229, 'workers': 8} - results: PRECISION: 0.3413093, PRECISION_RECALL_MIN_DEN: 0.3423958, RECALL: 0.0578483, MAP: 0.2046832, MAP_MIN_DEN: 0.2051909, MRR: 0.6059816, NDCG: 0.3593804, F1: 0.0989292, HIT_RATE: 0.9500037, ARHR_ALL_HITS: 1.0973576, NOVELTY: 0.0053294, AVERAGE_POPULARITY: 0.6420989, DIVERSITY_MEAN_INTER_LIST: 0.8428426, DIVERSITY_HERFINDAHL: 0.9842781, COVERAGE_ITEM: 0.0478432, COVERAGE_ITEM_CORRECT: 0.0277978, COVERAGE_USER: 0.9993407, COVERAGE_USER_CORRECT: 0.9493773, DIVERSITY_GINI: 0.0045358, SHANNON_ENTROPY: 6.6745512, RATIO_DIVERSITY_HERFINDAHL: 0.9846553, RATIO_DIVERSITY_GINI: 0.0180620, RATIO_SHANNON_ENTROPY: 0.5380444, RATIO_AVERAGE_POPULARITY: 3.1563747, RATIO_NOVELTY: 0.0249530, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'l1_ratio': 0.03629631544412991, 'topK': 40, 'alpha': 0.05967139781067517, 'workers': 8} - results: PRECISION: 0.3754344, PRECISION_RECALL_MIN_DEN: 0.3768533, RECALL: 0.0657689, MAP: 0.2281947, MAP_MIN_DEN: 0.2288241, MRR: 0.6291109, NDCG: 0.3905836, F1: 0.1119298, HIT_RATE: 0.9651052, ARHR_ALL_HITS: 1.1798274, NOVELTY: 0.0055734, AVERAGE_POPULARITY: 0.5266377, DIVERSITY_MEAN_INTER_LIST: 0.9132771, DIVERSITY_HERFINDAHL: 0.9913210, COVERAGE_ITEM: 0.0728723, COVERAGE_ITEM_CORRECT: 0.0500581, COVERAGE_USER: 0.9993407, COVERAGE_USER_CORRECT: 0.9644689, DIVERSITY_GINI: 0.0107511, SHANNON_ENTROPY: 7.8576726, RATIO_DIVERSITY_HERFINDAHL: 0.9917009, RATIO_DIVERSITY_GINI: 0.0428119, RATIO_SHANNON_ENTROPY: 0.6334174, RATIO_AVERAGE_POPULARITY: 2.5888002, RATIO_NOVELTY: 0.0260952, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'l1_ratio': 0.08339504609749036, 'topK': 989, 'alpha': 0.3491279203929187, 'workers': 8} - results: PRECISION: 0.3471666, PRECISION_RECALL_MIN_DEN: 0.3482535, RECALL: 0.0591230, MAP: 0.2085434, MAP_MIN_DEN: 0.2090718, MRR: 0.6125273, NDCG: 0.3649056, F1: 0.1010390, HIT_RATE: 0.9533025, ARHR_ALL_HITS: 1.1128835, NOVELTY: 0.0053938, AVERAGE_POPULARITY: 0.6091590, DIVERSITY_MEAN_INTER_LIST: 0.8735253, DIVERSITY_HERFINDAHL: 0.9873461, COVERAGE_ITEM: 0.0573675, COVERAGE_ITEM_CORRECT: 0.0365469, COVERAGE_USER: 0.9993407, COVERAGE_USER_CORRECT: 0.9526740, DIVERSITY_GINI: 0.0062360, SHANNON_ENTROPY: 7.1008557, RATIO_DIVERSITY_HERFINDAHL: 0.9877245, RATIO_DIVERSITY_GINI: 0.0248323, RATIO_SHANNON_ENTROPY: 0.5724094, RATIO_AVERAGE_POPULARITY: 2.9944515, RATIO_NOVELTY: 0.0252544, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'l1_ratio': 0.8048726848240407, 'topK': 245, 'alpha': 0.17356046539900183, 'workers': 8} - results: PRECISION: 0.2925519, PRECISION_RECALL_MIN_DEN: 0.2934780, RECALL: 0.0486672, MAP: 0.1652578, MAP_MIN_DEN: 0.1656935, MRR: 0.5549104, NDCG: 0.3087336, F1: 0.0834519, HIT_RATE: 0.9256653, ARHR_ALL_HITS: 0.9451453, NOVELTY: 0.0053897, AVERAGE_POPULARITY: 0.5980835, DIVERSITY_MEAN_INTER_LIST: 0.8886816, DIVERSITY_HERFINDAHL: 0.9888616, COVERAGE_ITEM: 0.0674456, COVERAGE_ITEM_CORRECT: 0.0314525, COVERAGE_USER: 0.9993407, COVERAGE_USER_CORRECT: 0.9250549, DIVERSITY_GINI: 0.0061878, SHANNON_ENTROPY: 7.1259186, RATIO_DIVERSITY_HERFINDAHL: 0.9892406, RATIO_DIVERSITY_GINI: 0.0246404, RATIO_SHANNON_ENTROPY: 0.5744297, RATIO_AVERAGE_POPULARITY: 2.9400073, RATIO_NOVELTY: 0.0252351, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'l1_ratio': 0.0012430384118603092, 'topK': 108, 'alpha': 0.3886064019514445, 'workers': 8} - results: PRECISION: 0.3711018, PRECISION_RECALL_MIN_DEN: 0.3725370, RECALL: 0.0643940, MAP: 0.2276095, MAP_MIN_DEN: 0.2282707, MRR: 0.6317845, NDCG: 0.3883413, F1: 0.1097449, HIT_RATE: 0.9626127, ARHR_ALL_HITS: 1.1786611, NOVELTY: 0.0053700, AVERAGE_POPULARITY: 0.6221894, DIVERSITY_MEAN_INTER_LIST: 0.8562269, DIVERSITY_HERFINDAHL: 0.9856164, COVERAGE_ITEM: 0.0491168, COVERAGE_ITEM_CORRECT: 0.0310648, COVERAGE_USER: 0.9993407, COVERAGE_USER_CORRECT: 0.9619780, DIVERSITY_GINI: 0.0053798, SHANNON_ENTROPY: 6.9052813, RATIO_DIVERSITY_HERFINDAHL: 0.9859941, RATIO_DIVERSITY_GINI: 0.0214228, RATIO_SHANNON_ENTROPY: 0.5566439, RATIO_AVERAGE_POPULARITY: 3.0585052, RATIO_NOVELTY: 0.0251429, 
SearchBayesianSkopt: New best config found. Config 6: {'l1_ratio': 0.007460066779005259, 'topK': 373, 'alpha': 0.001542763050720341, 'workers': 8} - results: PRECISION: 0.3821274, PRECISION_RECALL_MIN_DEN: 0.3833460, RECALL: 0.0664857, MAP: 0.2318177, MAP_MIN_DEN: 0.2323033, MRR: 0.6270683, NDCG: 0.3946598, F1: 0.1132647, HIT_RATE: 0.9640056, ARHR_ALL_HITS: 1.1858386, NOVELTY: 0.0057205, AVERAGE_POPULARITY: 0.4863164, DIVERSITY_MEAN_INTER_LIST: 0.9386822, DIVERSITY_HERFINDAHL: 0.9938613, COVERAGE_ITEM: 0.2044964, COVERAGE_ITEM_CORRECT: 0.0826735, COVERAGE_USER: 0.9993407, COVERAGE_USER_CORRECT: 0.9633700, DIVERSITY_GINI: 0.0208473, SHANNON_ENTROPY: 8.5678406, RATIO_DIVERSITY_HERFINDAHL: 0.9942422, RATIO_DIVERSITY_GINI: 0.0830161, RATIO_SHANNON_ENTROPY: 0.6906650, RATIO_AVERAGE_POPULARITY: 2.3905925, RATIO_NOVELTY: 0.0267841, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'l1_ratio': 1e-05, 'topK': 930, 'alpha': 0.47115636904848557, 'workers': 8} - results: PRECISION: 0.3714317, PRECISION_RECALL_MIN_DEN: 0.3728423, RECALL: 0.0642968, MAP: 0.2271514, MAP_MIN_DEN: 0.2278052, MRR: 0.6302045, NDCG: 0.3881564, F1: 0.1096181, HIT_RATE: 0.9626127, ARHR_ALL_HITS: 1.1768659, NOVELTY: 0.0053636, AVERAGE_POPULARITY: 0.6242439, DIVERSITY_MEAN_INTER_LIST: 0.8600588, DIVERSITY_HERFINDAHL: 0.9859996, COVERAGE_ITEM: 0.0490060, COVERAGE_ITEM_CORRECT: 0.0314525, COVERAGE_USER: 0.9993407, COVERAGE_USER_CORRECT: 0.9619780, DIVERSITY_GINI: 0.0054043, SHANNON_ENTROPY: 6.9205947, RATIO_DIVERSITY_HERFINDAHL: 0.9863774, RATIO_DIVERSITY_GINI: 0.0215206, RATIO_SHANNON_ENTROPY: 0.5578783, RATIO_AVERAGE_POPULARITY: 3.0686044, RATIO_NOVELTY: 0.0251130, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'l1_ratio': 7.226445429982927e-05, 'topK': 10, 'alpha': 1.0, 'workers': 8} - results: PRECISION: 0.3304157, PRECISION_RECALL_MIN_DEN: 0.3315099, RECALL: 0.0562232, MAP: 0.1939662, MAP_MIN_DEN: 0.1944912, MRR: 0.5945907, NDCG: 0.3472032, F1: 0.0960949, HIT_RATE: 0.9462649, ARHR_ALL_HITS: 1.0586600, NOVELTY: 0.0054010, AVERAGE_POPULARITY: 0.5969581, DIVERSITY_MEAN_INTER_LIST: 0.8628200, DIVERSITY_HERFINDAHL: 0.9862757, COVERAGE_ITEM: 0.0423611, COVERAGE_ITEM_CORRECT: 0.0252506, COVERAGE_USER: 0.9993407, COVERAGE_USER_CORRECT: 0.9456410, DIVERSITY_GINI: 0.0055100, SHANNON_ENTROPY: 6.9701832, RATIO_DIVERSITY_HERFINDAHL: 0.9866536, RATIO_DIVERSITY_GINI: 0.0219412, RATIO_SHANNON_ENTROPY: 0.5618757, RATIO_AVERAGE_POPULARITY: 2.9344753, RATIO_NOVELTY: 0.0252882, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'l1_ratio': 1e-05, 'topK': 14, 'alpha': 0.001, 'workers': 8} - results: PRECISION: 0.2010336, PRECISION_RECALL_MIN_DEN: 0.2017266, RECALL: 0.0347003, MAP: 0.1001782, MAP_MIN_DEN: 0.1004108, MRR: 0.4313000, NDCG: 0.2126681, F1: 0.0591848, HIT_RATE: 0.8446595, ARHR_ALL_HITS: 0.6530918, NOVELTY: 0.0072800, AVERAGE_POPULARITY: 0.1326644, DIVERSITY_MEAN_INTER_LIST: 0.9817111, DIVERSITY_HERFINDAHL: 0.9981639, COVERAGE_ITEM: 0.4644775, COVERAGE_ITEM_CORRECT: 0.1058198, COVERAGE_USER: 0.9993407, COVERAGE_USER_CORRECT: 0.8441026, DIVERSITY_GINI: 0.1196934, SHANNON_ENTROPY: 10.8807073, RATIO_DIVERSITY_HERFINDAHL: 0.9985464, RATIO_DIVERSITY_GINI: 0.4766316, RATIO_SHANNON_ENTROPY: 0.8771082, RATIO_AVERAGE_POPULARITY: 0.6521403, RATIO_NOVELTY: 0.0340860, 
