SearchBayesianSkopt: New best config found. Config 0: {'l1_ratio': 0.1348238972968118, 'topK': 793, 'alpha': 0.30493240304848995, 'positive_only': False} - results: PRECISION: 0.3188516, PRECISION_RECALL_MIN_DEN: 0.3200626, RECALL: 0.0536718, MAP: 0.1924104, MAP_MIN_DEN: 0.1930441, MRR: 0.6054389, NDCG: 0.3425595, F1: 0.0918779, HIT_RATE: 0.9326205, ARHR_ALL_HITS: 1.0635064, NOVELTY: 0.0051942, AVERAGE_POPULARITY: 0.7265430, DIVERSITY_MEAN_INTER_LIST: 0.7120679, DIVERSITY_HERFINDAHL: 0.9712016, COVERAGE_ITEM: 0.0110748, COVERAGE_ITEM_CORRECT: 0.0055374, COVERAGE_USER: 0.9997071, COVERAGE_USER_CORRECT: 0.9323473, DIVERSITY_GINI: 0.0018499, SHANNON_ENTROPY: 5.4128713, RATIO_DIVERSITY_HERFINDAHL: 0.9715743, RATIO_DIVERSITY_GINI: 0.0073841, RATIO_SHANNON_ENTROPY: 0.4364347, RATIO_AVERAGE_POPULARITY: 3.5716332, RATIO_NOVELTY: 0.0243457, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'l1_ratio': 0.37374437702532176, 'topK': 584, 'alpha': 0.36853783256921396, 'positive_only': False} - results: PRECISION: 0.1974659, PRECISION_RECALL_MIN_DEN: 0.1981835, RECALL: 0.0338506, MAP: 0.1279710, MAP_MIN_DEN: 0.1284118, MRR: 0.5592456, NDCG: 0.2456268, F1: 0.0577939, HIT_RATE: 0.8407793, ARHR_ALL_HITS: 0.8448674, NOVELTY: 0.0063596, AVERAGE_POPULARITY: 0.5394686, DIVERSITY_MEAN_INTER_LIST: 0.7158167, DIVERSITY_HERFINDAHL: 0.9715764, COVERAGE_ITEM: 0.0186057, COVERAGE_ITEM_CORRECT: 0.0045407, COVERAGE_USER: 0.9997071, COVERAGE_USER_CORRECT: 0.8405330, DIVERSITY_GINI: 0.0032345, SHANNON_ENTROPY: 5.9824435, RATIO_DIVERSITY_HERFINDAHL: 0.9719492, RATIO_DIVERSITY_GINI: 0.0129104, RATIO_SHANNON_ENTROPY: 0.4823587, RATIO_AVERAGE_POPULARITY: 2.6519890, RATIO_NOVELTY: 0.0298084, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'l1_ratio': 0.5888799397327876, 'topK': 340, 'alpha': 0.6403820040381814, 'positive_only': False} - results: PRECISION: 0.0035740, PRECISION_RECALL_MIN_DEN: 0.0035767, RECALL: 0.0004887, MAP: 0.0010195, MAP_MIN_DEN: 0.0010205, MRR: 0.0100580, NDCG: 0.0035140, F1: 0.0008598, HIT_RATE: 0.0352278, ARHR_ALL_HITS: 0.0101263, NOVELTY: 0.0089969, AVERAGE_POPULARITY: 0.0212183, DIVERSITY_MEAN_INTER_LIST: 0.9141007, DIVERSITY_HERFINDAHL: 0.9914034, COVERAGE_ITEM: 0.0189933, COVERAGE_ITEM_CORRECT: 0.0057589, COVERAGE_USER: 0.9997071, COVERAGE_USER_CORRECT: 0.0352175, DIVERSITY_GINI: 0.0059153, SHANNON_ENTROPY: 7.1174154, RATIO_DIVERSITY_HERFINDAHL: 0.9917838, RATIO_DIVERSITY_GINI: 0.0236109, RATIO_SHANNON_ENTROPY: 0.5738704, RATIO_AVERAGE_POPULARITY: 0.1043075, RATIO_NOVELTY: 0.0421696, 
SearchBayesianSkopt: New best config found. Config 3: {'l1_ratio': 0.01132166197892648, 'topK': 931, 'alpha': 0.6794046441698449, 'positive_only': False} - results: PRECISION: 0.3530833, PRECISION_RECALL_MIN_DEN: 0.3546263, RECALL: 0.0614789, MAP: 0.2164190, MAP_MIN_DEN: 0.2171929, MRR: 0.6285875, NDCG: 0.3742254, F1: 0.1047234, HIT_RATE: 0.9545188, ARHR_ALL_HITS: 1.1476798, NOVELTY: 0.0052213, AVERAGE_POPULARITY: 0.7030042, DIVERSITY_MEAN_INTER_LIST: 0.7689146, DIVERSITY_HERFINDAHL: 0.9768858, COVERAGE_ITEM: 0.0224819, COVERAGE_ITEM_CORRECT: 0.0125145, COVERAGE_USER: 0.9997071, COVERAGE_USER_CORRECT: 0.9542393, DIVERSITY_GINI: 0.0025293, SHANNON_ENTROPY: 5.8967096, RATIO_DIVERSITY_HERFINDAHL: 0.9772607, RATIO_DIVERSITY_GINI: 0.0100956, RATIO_SHANNON_ENTROPY: 0.4754461, RATIO_AVERAGE_POPULARITY: 3.4559182, RATIO_NOVELTY: 0.0244730, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'l1_ratio': 0.48150624065715586, 'topK': 849, 'alpha': 0.2840471462053146, 'positive_only': True} - results: PRECISION: 0.1951443, PRECISION_RECALL_MIN_DEN: 0.1958401, RECALL: 0.0332855, MAP: 0.1261559, MAP_MIN_DEN: 0.1265849, MRR: 0.5548989, NDCG: 0.2427045, F1: 0.0568706, HIT_RATE: 0.8363117, ARHR_ALL_HITS: 0.8351321, NOVELTY: 0.0063942, AVERAGE_POPULARITY: 0.5308015, DIVERSITY_MEAN_INTER_LIST: 0.7333565, DIVERSITY_HERFINDAHL: 0.9733303, COVERAGE_ITEM: 0.0184949, COVERAGE_ITEM_CORRECT: 0.0044299, COVERAGE_USER: 0.9997071, COVERAGE_USER_CORRECT: 0.8360668, DIVERSITY_GINI: 0.0033584, SHANNON_ENTROPY: 6.0671262, RATIO_DIVERSITY_HERFINDAHL: 0.9737038, RATIO_DIVERSITY_GINI: 0.0134052, RATIO_SHANNON_ENTROPY: 0.4891866, RATIO_AVERAGE_POPULARITY: 2.6093820, RATIO_NOVELTY: 0.0299705, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'l1_ratio': 0.8819386196359426, 'topK': 413, 'alpha': 0.6735345202840278, 'positive_only': True} - results: PRECISION: 0.0035740, PRECISION_RECALL_MIN_DEN: 0.0035767, RECALL: 0.0004887, MAP: 0.0010195, MAP_MIN_DEN: 0.0010205, MRR: 0.0100580, NDCG: 0.0035140, F1: 0.0008598, HIT_RATE: 0.0352278, ARHR_ALL_HITS: 0.0101263, NOVELTY: 0.0089969, AVERAGE_POPULARITY: 0.0212183, DIVERSITY_MEAN_INTER_LIST: 0.9141007, DIVERSITY_HERFINDAHL: 0.9914034, COVERAGE_ITEM: 0.0189933, COVERAGE_ITEM_CORRECT: 0.0057589, COVERAGE_USER: 0.9997071, COVERAGE_USER_CORRECT: 0.0352175, DIVERSITY_GINI: 0.0059153, SHANNON_ENTROPY: 7.1174154, RATIO_DIVERSITY_HERFINDAHL: 0.9917838, RATIO_DIVERSITY_GINI: 0.0236109, RATIO_SHANNON_ENTROPY: 0.5738704, RATIO_AVERAGE_POPULARITY: 0.1043075, RATIO_NOVELTY: 0.0421696, 
SearchBayesianSkopt: New best config found. Config 6: {'l1_ratio': 0.0, 'topK': 292, 'alpha': 0.903779961656298, 'positive_only': True} - results: PRECISION: 0.3679068, PRECISION_RECALL_MIN_DEN: 0.3693890, RECALL: 0.0643836, MAP: 0.2255479, MAP_MIN_DEN: 0.2263016, MRR: 0.6338673, NDCG: 0.3864280, F1: 0.1095891, HIT_RATE: 0.9607441, ARHR_ALL_HITS: 1.1765373, NOVELTY: 0.0052710, AVERAGE_POPULARITY: 0.6760160, DIVERSITY_MEAN_INTER_LIST: 0.7977575, DIVERSITY_HERFINDAHL: 0.9797699, COVERAGE_ITEM: 0.0339997, COVERAGE_ITEM_CORRECT: 0.0203223, COVERAGE_USER: 0.9997071, COVERAGE_USER_CORRECT: 0.9604627, DIVERSITY_GINI: 0.0032982, SHANNON_ENTROPY: 6.2452169, RATIO_DIVERSITY_HERFINDAHL: 0.9801459, RATIO_DIVERSITY_GINI: 0.0131649, RATIO_SHANNON_ENTROPY: 0.5035459, RATIO_AVERAGE_POPULARITY: 3.3232465, RATIO_NOVELTY: 0.0247060, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'l1_ratio': 0.0, 'topK': 50, 'alpha': 0.0, 'positive_only': False} - results: PRECISION: 0.0383258, PRECISION_RECALL_MIN_DEN: 0.0383813, RECALL: 0.0045639, MAP: 0.0172080, MAP_MIN_DEN: 0.0172267, MRR: 0.1309507, NDCG: 0.0449287, F1: 0.0081565, HIT_RATE: 0.2893658, ARHR_ALL_HITS: 0.1496492, NOVELTY: 0.0068055, AVERAGE_POPULARITY: 0.1805267, DIVERSITY_MEAN_INTER_LIST: 0.9955555, DIVERSITY_HERFINDAHL: 0.9995483, COVERAGE_ITEM: 0.6296030, COVERAGE_ITEM_CORRECT: 0.0691068, COVERAGE_USER: 0.9997071, COVERAGE_USER_CORRECT: 0.2892810, DIVERSITY_GINI: 0.1718496, SHANNON_ENTROPY: 11.9041440, RATIO_DIVERSITY_HERFINDAHL: 0.9999318, RATIO_DIVERSITY_GINI: 0.6859421, RATIO_SHANNON_ENTROPY: 0.9598198, RATIO_AVERAGE_POPULARITY: 0.8874564, RATIO_NOVELTY: 0.0318985, 
SearchBayesianSkopt: New best config found. Config 8: {'l1_ratio': 0.0, 'topK': 655, 'alpha': 1.0, 'positive_only': True} - results: PRECISION: 0.3674894, PRECISION_RECALL_MIN_DEN: 0.3689904, RECALL: 0.0640129, MAP: 0.2258141, MAP_MIN_DEN: 0.2265918, MRR: 0.6337831, NDCG: 0.3862935, F1: 0.1090333, HIT_RATE: 0.9597188, ARHR_ALL_HITS: 1.1766360, NOVELTY: 0.0052594, AVERAGE_POPULARITY: 0.6820412, DIVERSITY_MEAN_INTER_LIST: 0.7941529, DIVERSITY_HERFINDAHL: 0.9794095, COVERAGE_ITEM: 0.0315632, COVERAGE_ITEM_CORRECT: 0.0192702, COVERAGE_USER: 0.9997071, COVERAGE_USER_CORRECT: 0.9594377, DIVERSITY_GINI: 0.0031532, SHANNON_ENTROPY: 6.1911192, RATIO_DIVERSITY_HERFINDAHL: 0.9797853, RATIO_DIVERSITY_GINI: 0.0125860, RATIO_SHANNON_ENTROPY: 0.4991840, RATIO_AVERAGE_POPULARITY: 3.3528659, RATIO_NOVELTY: 0.0246516, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'l1_ratio': 0.23059721528884605, 'topK': 1000, 'alpha': 1.0, 'positive_only': True} - results: PRECISION: 0.0035740, PRECISION_RECALL_MIN_DEN: 0.0035767, RECALL: 0.0004887, MAP: 0.0010195, MAP_MIN_DEN: 0.0010205, MRR: 0.0100580, NDCG: 0.0035140, F1: 0.0008598, HIT_RATE: 0.0352278, ARHR_ALL_HITS: 0.0101263, NOVELTY: 0.0089969, AVERAGE_POPULARITY: 0.0212183, DIVERSITY_MEAN_INTER_LIST: 0.9141007, DIVERSITY_HERFINDAHL: 0.9914034, COVERAGE_ITEM: 0.0189933, COVERAGE_ITEM_CORRECT: 0.0057589, COVERAGE_USER: 0.9997071, COVERAGE_USER_CORRECT: 0.0352175, DIVERSITY_GINI: 0.0059153, SHANNON_ENTROPY: 7.1174154, RATIO_DIVERSITY_HERFINDAHL: 0.9917838, RATIO_DIVERSITY_GINI: 0.0236109, RATIO_SHANNON_ENTROPY: 0.5738704, RATIO_AVERAGE_POPULARITY: 0.1043075, RATIO_NOVELTY: 0.0421696, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'l1_ratio': 0.014873011268626113, 'topK': 972, 'alpha': 0.7959762765687525, 'positive_only': False} - results: PRECISION: 0.3441775, PRECISION_RECALL_MIN_DEN: 0.3457060, RECALL: 0.0595364, MAP: 0.2102409, MAP_MIN_DEN: 0.2110123, MRR: 0.6226988, NDCG: 0.3660874, F1: 0.1015130, HIT_RATE: 0.9482935, ARHR_ALL_HITS: 1.1261226, NOVELTY: 0.0052052, AVERAGE_POPULARITY: 0.7143280, DIVERSITY_MEAN_INTER_LIST: 0.7464224, DIVERSITY_HERFINDAHL: 0.9746368, COVERAGE_ITEM: 0.0181627, COVERAGE_ITEM_CORRECT: 0.0104657, COVERAGE_USER: 0.9997071, COVERAGE_USER_CORRECT: 0.9480158, DIVERSITY_GINI: 0.0022088, SHANNON_ENTROPY: 5.6954972, RATIO_DIVERSITY_HERFINDAHL: 0.9750108, RATIO_DIVERSITY_GINI: 0.0088165, RATIO_SHANNON_ENTROPY: 0.4592225, RATIO_AVERAGE_POPULARITY: 3.5115856, RATIO_NOVELTY: 0.0243975, 
SearchBayesianSkopt: New best config found. Config 11: {'l1_ratio': 0.10699542319441159, 'topK': 50, 'alpha': 0.008707208420830302, 'positive_only': True} - results: PRECISION: 0.3897686, PRECISION_RECALL_MIN_DEN: 0.3915271, RECALL: 0.0703553, MAP: 0.2384904, MAP_MIN_DEN: 0.2393326, MRR: 0.6416861, NDCG: 0.4041391, F1: 0.1191953, HIT_RATE: 0.9732679, ARHR_ALL_HITS: 1.2164103, NOVELTY: 0.0056678, AVERAGE_POPULARITY: 0.4804457, DIVERSITY_MEAN_INTER_LIST: 0.9341602, DIVERSITY_HERFINDAHL: 0.9934092, COVERAGE_ITEM: 0.0856637, COVERAGE_ITEM_CORRECT: 0.0605792, COVERAGE_USER: 0.9997071, COVERAGE_USER_CORRECT: 0.9729829, DIVERSITY_GINI: 0.0146880, SHANNON_ENTROPY: 8.3134415, RATIO_DIVERSITY_HERFINDAHL: 0.9937904, RATIO_DIVERSITY_GINI: 0.0586275, RATIO_SHANNON_ENTROPY: 0.6703049, RATIO_AVERAGE_POPULARITY: 2.3618365, RATIO_NOVELTY: 0.0265658, 
