SearchBayesianSkopt: New best config found. Config 0: {'l1_ratio': 0.002886939852101985, 'topK': 605, 'alpha': 0.46919284916084203, 'workers': 8, 'mw': 44} - results: PRECISION: 0.3571753, PRECISION_RECALL_MIN_DEN: 0.3585062, RECALL: 0.0614180, MAP: 0.2149377, MAP_MIN_DEN: 0.2155015, MRR: 0.6150307, NDCG: 0.3730133, F1: 0.1048130, HIT_RATE: 0.9560246, ARHR_ALL_HITS: 1.1310212, NOVELTY: 0.0054018, AVERAGE_POPULARITY: 0.6132006, DIVERSITY_MEAN_INTER_LIST: 0.8675179, DIVERSITY_HERFINDAHL: 0.9867454, COVERAGE_ITEM: 0.0671687, COVERAGE_ITEM_CORRECT: 0.0315632, COVERAGE_USER: 0.9995604, COVERAGE_USER_CORRECT: 0.9556044, DIVERSITY_GINI: 0.0060223, SHANNON_ENTROPY: 7.0323291, RATIO_DIVERSITY_HERFINDAHL: 0.9871208, RATIO_DIVERSITY_GINI: 0.0236917, RATIO_SHANNON_ENTROPY: 0.5662191, RATIO_AVERAGE_POPULARITY: 3.0421097, RATIO_NOVELTY: 0.0253632, 
SearchBayesianSkopt: New best config found. Config 1: {'l1_ratio': 1.7155641835345733e-05, 'topK': 1071, 'alpha': 0.931033166410656, 'workers': 8, 'mw': 27} - results: PRECISION: 0.3678906, PRECISION_RECALL_MIN_DEN: 0.3693978, RECALL: 0.0641047, MAP: 0.2248567, MAP_MIN_DEN: 0.2255590, MRR: 0.6282903, NDCG: 0.3850626, F1: 0.1091841, HIT_RATE: 0.9622545, ARHR_ALL_HITS: 1.1688880, NOVELTY: 0.0053285, AVERAGE_POPULARITY: 0.6476786, DIVERSITY_MEAN_INTER_LIST: 0.8340076, DIVERSITY_HERFINDAHL: 0.9833946, COVERAGE_ITEM: 0.0531591, COVERAGE_ITEM_CORRECT: 0.0264134, COVERAGE_USER: 0.9995604, COVERAGE_USER_CORRECT: 0.9618315, DIVERSITY_GINI: 0.0044747, SHANNON_ENTROPY: 6.6324180, RATIO_DIVERSITY_HERFINDAHL: 0.9837687, RATIO_DIVERSITY_GINI: 0.0176033, RATIO_SHANNON_ENTROPY: 0.5340196, RATIO_AVERAGE_POPULARITY: 3.2131563, RATIO_NOVELTY: 0.0250194, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'l1_ratio': 0.18075784945347717, 'topK': 404, 'alpha': 0.8572973255230604, 'workers': 8, 'mw': 18} - results: PRECISION: 0.2941000, PRECISION_RECALL_MIN_DEN: 0.2951062, RECALL: 0.0477642, MAP: 0.1742838, MAP_MIN_DEN: 0.1747217, MRR: 0.5802841, NDCG: 0.3175392, F1: 0.0821815, HIT_RATE: 0.9164468, ARHR_ALL_HITS: 0.9907165, NOVELTY: 0.0051996, AVERAGE_POPULARITY: 0.7243824, DIVERSITY_MEAN_INTER_LIST: 0.7031261, DIVERSITY_HERFINDAHL: 0.9703075, COVERAGE_ITEM: 0.0094690, COVERAGE_ITEM_CORRECT: 0.0044299, COVERAGE_USER: 0.9995604, COVERAGE_USER_CORRECT: 0.9160440, DIVERSITY_GINI: 0.0017609, SHANNON_ENTROPY: 5.3201375, RATIO_DIVERSITY_HERFINDAHL: 0.9706766, RATIO_DIVERSITY_GINI: 0.0069273, RATIO_SHANNON_ENTROPY: 0.4283593, RATIO_AVERAGE_POPULARITY: 3.5936865, RATIO_NOVELTY: 0.0244138, 
SearchBayesianSkopt: New best config found. Config 0: {'l1_ratio': 0.021151647102264477, 'topK': 791, 'alpha': 0.5758613711515164, 'workers': 8, 'mw': 36} - results: PRECISION: 0.3502272, PRECISION_RECALL_MIN_DEN: 0.3512501, RECALL: 0.0598965, MAP: 0.2103247, MAP_MIN_DEN: 0.2107819, MRR: 0.6139306, NDCG: 0.3673951, F1: 0.1022978, HIT_RATE: 0.9574842, ARHR_ALL_HITS: 1.1188524, NOVELTY: 0.0053700, AVERAGE_POPULARITY: 0.6330003, DIVERSITY_MEAN_INTER_LIST: 0.8577131, DIVERSITY_HERFINDAHL: 0.9857650, COVERAGE_ITEM: 0.0589180, COVERAGE_ITEM_CORRECT: 0.0288499, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.9569231, DIVERSITY_GINI: 0.0053455, SHANNON_ENTROPY: 6.8871527, RATIO_DIVERSITY_HERFINDAHL: 0.9861402, RATIO_DIVERSITY_GINI: 0.0210239, RATIO_SHANNON_ENTROPY: 0.5545244, RATIO_AVERAGE_POPULARITY: 3.1059598, RATIO_NOVELTY: 0.0252140, 
SearchBayesianSkopt: Config 1 is suboptimal. Config: {'l1_ratio': 0.055697115899260935, 'topK': 1193, 'alpha': 0.3819550447162118, 'workers': 8, 'mw': 40} - results: PRECISION: 0.3392904, PRECISION_RECALL_MIN_DEN: 0.3402768, RECALL: 0.0576118, MAP: 0.2012437, MAP_MIN_DEN: 0.2016429, MRR: 0.5998368, NDCG: 0.3556665, F1: 0.0984985, HIT_RATE: 0.9533060, ARHR_ALL_HITS: 1.0826427, NOVELTY: 0.0054086, AVERAGE_POPULARITY: 0.6128721, DIVERSITY_MEAN_INTER_LIST: 0.8754724, DIVERSITY_HERFINDAHL: 0.9875408, COVERAGE_ITEM: 0.0665042, COVERAGE_ITEM_CORRECT: 0.0323384, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.9527473, DIVERSITY_GINI: 0.0062999, SHANNON_ENTROPY: 7.1149458, RATIO_DIVERSITY_HERFINDAHL: 0.9879166, RATIO_DIVERSITY_GINI: 0.0247778, RATIO_SHANNON_ENTROPY: 0.5728653, RATIO_AVERAGE_POPULARITY: 3.0071964, RATIO_NOVELTY: 0.0253949, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'l1_ratio': 0.061372813328511765, 'topK': 273, 'alpha': 0.7197500681334442, 'workers': 8, 'mw': 2} - results: PRECISION: 0.3379197, PRECISION_RECALL_MIN_DEN: 0.3394196, RECALL: 0.0581211, MAP: 0.2058613, MAP_MIN_DEN: 0.2066504, MRR: 0.6227307, NDCG: 0.3609630, F1: 0.0991830, HIT_RATE: 0.9496408, ARHR_ALL_HITS: 1.1141812, NOVELTY: 0.0052088, AVERAGE_POPULARITY: 0.7192080, DIVERSITY_MEAN_INTER_LIST: 0.7511193, DIVERSITY_HERFINDAHL: 0.9751064, COVERAGE_ITEM: 0.0159477, COVERAGE_ITEM_CORRECT: 0.0088045, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.9490842, DIVERSITY_GINI: 0.0022194, SHANNON_ENTROPY: 5.7063617, RATIO_DIVERSITY_HERFINDAHL: 0.9754775, RATIO_DIVERSITY_GINI: 0.0087291, RATIO_SHANNON_ENTROPY: 0.4594521, RATIO_AVERAGE_POPULARITY: 3.5289576, RATIO_NOVELTY: 0.0244569, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'l1_ratio': 0.08190277575684823, 'topK': 1137, 'alpha': 1.5566235073948107, 'workers': 8, 'mw': 34} - results: PRECISION: 0.2904779, PRECISION_RECALL_MIN_DEN: 0.2911895, RECALL: 0.0477163, MAP: 0.1670094, MAP_MIN_DEN: 0.1672907, MRR: 0.5639527, NDCG: 0.3095798, F1: 0.0819679, HIT_RATE: 0.9221522, ARHR_ALL_HITS: 0.9565270, NOVELTY: 0.0052864, AVERAGE_POPULARITY: 0.6686641, DIVERSITY_MEAN_INTER_LIST: 0.8126568, DIVERSITY_HERFINDAHL: 0.9812597, COVERAGE_ITEM: 0.0433579, COVERAGE_ITEM_CORRECT: 0.0178858, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.9216117, DIVERSITY_GINI: 0.0034901, SHANNON_ENTROPY: 6.3170105, RATIO_DIVERSITY_HERFINDAHL: 0.9816332, RATIO_DIVERSITY_GINI: 0.0137267, RATIO_SHANNON_ENTROPY: 0.5086189, RATIO_AVERAGE_POPULARITY: 3.2809528, RATIO_NOVELTY: 0.0248215, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'l1_ratio': 0.8004244369033803, 'topK': 862, 'alpha': 1.1008725149524552, 'workers': 8, 'mw': 44} - results: PRECISION: 0.0034013, PRECISION_RECALL_MIN_DEN: 0.0034322, RECALL: 0.0005095, MAP: 0.0009747, MAP_MIN_DEN: 0.0009849, MRR: 0.0095444, NDCG: 0.0033607, F1: 0.0008862, HIT_RATE: 0.0334262, ARHR_ALL_HITS: 0.0096455, NOVELTY: 0.0089450, AVERAGE_POPULARITY: 0.0216722, DIVERSITY_MEAN_INTER_LIST: 0.9139598, DIVERSITY_HERFINDAHL: 0.9913893, COVERAGE_ITEM: 0.0173321, COVERAGE_ITEM_CORRECT: 0.0059250, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.0334066, DIVERSITY_GINI: 0.0059030, SHANNON_ENTROPY: 7.1141889, RATIO_DIVERSITY_HERFINDAHL: 0.9917666, RATIO_DIVERSITY_GINI: 0.0232167, RATIO_SHANNON_ENTROPY: 0.5728043, RATIO_AVERAGE_POPULARITY: 0.1063397, RATIO_NOVELTY: 0.0419993, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'l1_ratio': 0.19115717379381672, 'topK': 1554, 'alpha': 1.0557313313193897, 'workers': 8, 'mw': 36} - results: PRECISION: 0.2674535, PRECISION_RECALL_MIN_DEN: 0.2680430, RECALL: 0.0426211, MAP: 0.1499938, MAP_MIN_DEN: 0.1502201, MRR: 0.5304788, NDCG: 0.2847211, F1: 0.0735254, HIT_RATE: 0.8984753, ARHR_ALL_HITS: 0.8793695, NOVELTY: 0.0052848, AVERAGE_POPULARITY: 0.6618996, DIVERSITY_MEAN_INTER_LIST: 0.8097291, DIVERSITY_HERFINDAHL: 0.9809670, COVERAGE_ITEM: 0.0292375, COVERAGE_ITEM_CORRECT: 0.0111302, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.8979487, DIVERSITY_GINI: 0.0030644, SHANNON_ENTROPY: 6.1811467, RATIO_DIVERSITY_HERFINDAHL: 0.9813403, RATIO_DIVERSITY_GINI: 0.0120525, RATIO_SHANNON_ENTROPY: 0.4976797, RATIO_AVERAGE_POPULARITY: 3.2477611, RATIO_NOVELTY: 0.0248138, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'l1_ratio': 0.7177297931584895, 'topK': 1890, 'alpha': 1.337293028877467, 'workers': 8, 'mw': 6} - results: PRECISION: 0.0034013, PRECISION_RECALL_MIN_DEN: 0.0034322, RECALL: 0.0005095, MAP: 0.0009747, MAP_MIN_DEN: 0.0009849, MRR: 0.0095444, NDCG: 0.0033607, F1: 0.0008862, HIT_RATE: 0.0334262, ARHR_ALL_HITS: 0.0096455, NOVELTY: 0.0089450, AVERAGE_POPULARITY: 0.0216722, DIVERSITY_MEAN_INTER_LIST: 0.9139598, DIVERSITY_HERFINDAHL: 0.9913893, COVERAGE_ITEM: 0.0173321, COVERAGE_ITEM_CORRECT: 0.0059250, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.0334066, DIVERSITY_GINI: 0.0059030, SHANNON_ENTROPY: 7.1141889, RATIO_DIVERSITY_HERFINDAHL: 0.9917666, RATIO_DIVERSITY_GINI: 0.0232167, RATIO_SHANNON_ENTROPY: 0.5728043, RATIO_AVERAGE_POPULARITY: 0.1063397, RATIO_NOVELTY: 0.0419993, 
SearchBayesianSkopt: New best config found. Config 7: {'l1_ratio': 0.010925883966450988, 'topK': 1449, 'alpha': 1.3181387198802994, 'workers': 8, 'mw': 14} - results: PRECISION: 0.3574989, PRECISION_RECALL_MIN_DEN: 0.3587609, RECALL: 0.0619592, MAP: 0.2185311, MAP_MIN_DEN: 0.2191802, MRR: 0.6295823, NDCG: 0.3774245, F1: 0.1056141, HIT_RATE: 0.9579974, ARHR_ALL_HITS: 1.1544151, NOVELTY: 0.0052641, AVERAGE_POPULARITY: 0.6867984, DIVERSITY_MEAN_INTER_LIST: 0.7968180, DIVERSITY_HERFINDAHL: 0.9796760, COVERAGE_ITEM: 0.0372667, COVERAGE_ITEM_CORRECT: 0.0186611, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.9574359, DIVERSITY_GINI: 0.0032292, SHANNON_ENTROPY: 6.2084016, RATIO_DIVERSITY_HERFINDAHL: 0.9800488, RATIO_DIVERSITY_GINI: 0.0127004, RATIO_SHANNON_ENTROPY: 0.4998742, RATIO_AVERAGE_POPULARITY: 3.3699325, RATIO_NOVELTY: 0.0247165, 
