SearchBayesianSkopt: New best config found. Config 0: {'l1_ratio': 0.4154799562639261, 'topK': 1835, 'alpha': 0.552513641609592, 'workers': 8, 'mw': 15} - results: PRECISION: 0.2887415, PRECISION_RECALL_MIN_DEN: 0.2894232, RECALL: 0.0464098, MAP: 0.1701603, MAP_MIN_DEN: 0.1704444, MRR: 0.5736147, NDCG: 0.3114179, F1: 0.0799665, HIT_RATE: 0.9103570, ARHR_ALL_HITS: 0.9718971, NOVELTY: 0.0052165, AVERAGE_POPULARITY: 0.7206013, DIVERSITY_MEAN_INTER_LIST: 0.6962735, DIVERSITY_HERFINDAHL: 0.9696222, COVERAGE_ITEM: 0.0068664, COVERAGE_ITEM_CORRECT: 0.0032117, COVERAGE_USER: 0.9994872, COVERAGE_USER_CORRECT: 0.9098901, DIVERSITY_GINI: 0.0017124, SHANNON_ENTROPY: 5.2343139, RATIO_DIVERSITY_HERFINDAHL: 0.9699849, RATIO_DIVERSITY_GINI: 0.0065516, RATIO_SHANNON_ENTROPY: 0.4203071, RATIO_AVERAGE_POPULARITY: 3.6104715, RATIO_NOVELTY: 0.0245683, 
SearchBayesianSkopt: New best config found. Config 1: {'l1_ratio': 0.027682696476994093, 'topK': 1089, 'alpha': 0.5300654261722865, 'workers': 8, 'mw': 15} - results: PRECISION: 0.3696914, PRECISION_RECALL_MIN_DEN: 0.3709365, RECALL: 0.0643864, MAP: 0.2238326, MAP_MIN_DEN: 0.2243355, MRR: 0.6252830, NDCG: 0.3849547, F1: 0.1096721, HIT_RATE: 0.9637177, ARHR_ALL_HITS: 1.1645165, NOVELTY: 0.0054052, AVERAGE_POPULARITY: 0.6093425, DIVERSITY_MEAN_INTER_LIST: 0.8729291, DIVERSITY_HERFINDAHL: 0.9872865, COVERAGE_ITEM: 0.0816767, COVERAGE_ITEM_CORRECT: 0.0422504, COVERAGE_USER: 0.9994872, COVERAGE_USER_CORRECT: 0.9632234, DIVERSITY_GINI: 0.0067296, SHANNON_ENTROPY: 7.1339583, RATIO_DIVERSITY_HERFINDAHL: 0.9876558, RATIO_DIVERSITY_GINI: 0.0257474, RATIO_SHANNON_ENTROPY: 0.5728455, RATIO_AVERAGE_POPULARITY: 3.0530249, RATIO_NOVELTY: 0.0254568, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'l1_ratio': 0.9373060730787779, 'topK': 1832, 'alpha': 0.9717600032856188, 'workers': 8, 'mw': 2} - results: PRECISION: 0.0035916, PRECISION_RECALL_MIN_DEN: 0.0035916, RECALL: 0.0004801, MAP: 0.0010966, MAP_MIN_DEN: 0.0010966, MRR: 0.0106734, NDCG: 0.0036414, F1: 0.0008470, HIT_RATE: 0.0349630, ARHR_ALL_HITS: 0.0108195, NOVELTY: 0.0089208, AVERAGE_POPULARITY: 0.0214963, DIVERSITY_MEAN_INTER_LIST: 0.9139523, DIVERSITY_HERFINDAHL: 0.9913885, COVERAGE_ITEM: 0.0168337, COVERAGE_ITEM_CORRECT: 0.0064788, COVERAGE_USER: 0.9994872, COVERAGE_USER_CORRECT: 0.0349451, DIVERSITY_GINI: 0.0059023, SHANNON_ENTROPY: 7.1142453, RATIO_DIVERSITY_HERFINDAHL: 0.9917593, RATIO_DIVERSITY_GINI: 0.0225819, RATIO_SHANNON_ENTROPY: 0.5712626, RATIO_AVERAGE_POPULARITY: 0.1077042, RATIO_NOVELTY: 0.0420147, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'l1_ratio': 0.8182057898461135, 'topK': 2155, 'alpha': 0.33050643328789253, 'workers': 8, 'mw': 18} - results: PRECISION: 0.2770432, PRECISION_RECALL_MIN_DEN: 0.2775809, RECALL: 0.0439574, MAP: 0.1609477, MAP_MIN_DEN: 0.1611994, MRR: 0.5537549, NDCG: 0.2983452, F1: 0.0758759, HIT_RATE: 0.8992890, ARHR_ALL_HITS: 0.9297728, NOVELTY: 0.0053038, AVERAGE_POPULARITY: 0.6953914, DIVERSITY_MEAN_INTER_LIST: 0.7171966, DIVERSITY_HERFINDAHL: 0.9717144, COVERAGE_ITEM: 0.0131790, COVERAGE_ITEM_CORRECT: 0.0030456, COVERAGE_USER: 0.9994872, COVERAGE_USER_CORRECT: 0.8988278, DIVERSITY_GINI: 0.0018790, SHANNON_ENTROPY: 5.3883752, RATIO_DIVERSITY_HERFINDAHL: 0.9720778, RATIO_DIVERSITY_GINI: 0.0071891, RATIO_SHANNON_ENTROPY: 0.4326780, RATIO_AVERAGE_POPULARITY: 3.4841609, RATIO_NOVELTY: 0.0249797, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'l1_ratio': 0.4212298542567963, 'topK': 2328, 'alpha': 0.27098666210441813, 'workers': 8, 'mw': 3} - results: PRECISION: 0.3035183, PRECISION_RECALL_MIN_DEN: 0.3043331, RECALL: 0.0499283, MAP: 0.1810963, MAP_MIN_DEN: 0.1814626, MRR: 0.5942033, NDCG: 0.3274296, F1: 0.0857507, HIT_RATE: 0.9251631, ARHR_ALL_HITS: 1.0216554, NOVELTY: 0.0052080, AVERAGE_POPULARITY: 0.7220053, DIVERSITY_MEAN_INTER_LIST: 0.7077528, DIVERSITY_HERFINDAHL: 0.9707701, COVERAGE_ITEM: 0.0100781, COVERAGE_ITEM_CORRECT: 0.0049837, COVERAGE_USER: 0.9994872, COVERAGE_USER_CORRECT: 0.9246886, DIVERSITY_GINI: 0.0017995, SHANNON_ENTROPY: 5.3600900, RATIO_DIVERSITY_HERFINDAHL: 0.9711332, RATIO_DIVERSITY_GINI: 0.0068848, RATIO_SHANNON_ENTROPY: 0.4304067, RATIO_AVERAGE_POPULARITY: 3.6175060, RATIO_NOVELTY: 0.0245282, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'l1_ratio': 0.2986824363313986, 'topK': 1077, 'alpha': 0.45141919558809057, 'workers': 8, 'mw': 3} - results: PRECISION: 0.2997215, PRECISION_RECALL_MIN_DEN: 0.3004747, RECALL: 0.0488933, MAP: 0.1787734, MAP_MIN_DEN: 0.1791261, MRR: 0.5921140, NDCG: 0.3240041, F1: 0.0840721, HIT_RATE: 0.9233306, ARHR_ALL_HITS: 1.0129478, NOVELTY: 0.0052006, AVERAGE_POPULARITY: 0.7292853, DIVERSITY_MEAN_INTER_LIST: 0.6781753, DIVERSITY_HERFINDAHL: 0.9678126, COVERAGE_ITEM: 0.0081400, COVERAGE_ITEM_CORRECT: 0.0039316, COVERAGE_USER: 0.9994872, COVERAGE_USER_CORRECT: 0.9228571, DIVERSITY_GINI: 0.0016257, SHANNON_ENTROPY: 5.1842027, RATIO_DIVERSITY_HERFINDAHL: 0.9681745, RATIO_DIVERSITY_GINI: 0.0062197, RATIO_SHANNON_ENTROPY: 0.4162832, RATIO_AVERAGE_POPULARITY: 3.6539815, RATIO_NOVELTY: 0.0244936, 
SearchBayesianSkopt: New best config found. Config 6: {'l1_ratio': 0.030786559605834377, 'topK': 1935, 'alpha': 0.1299227359586175, 'workers': 8, 'mw': 8} - results: PRECISION: 0.3878179, PRECISION_RECALL_MIN_DEN: 0.3892221, RECALL: 0.0685013, MAP: 0.2373665, MAP_MIN_DEN: 0.2379994, MRR: 0.6377961, NDCG: 0.4018888, F1: 0.1164362, HIT_RATE: 0.9703144, ARHR_ALL_HITS: 1.2099907, NOVELTY: 0.0054825, AVERAGE_POPULARITY: 0.5676397, DIVERSITY_MEAN_INTER_LIST: 0.9026206, DIVERSITY_HERFINDAHL: 0.9902554, COVERAGE_ITEM: 0.0828950, COVERAGE_ITEM_CORRECT: 0.0491722, COVERAGE_USER: 0.9994872, COVERAGE_USER_CORRECT: 0.9698168, DIVERSITY_GINI: 0.0090668, SHANNON_ENTROPY: 7.6022887, RATIO_DIVERSITY_HERFINDAHL: 0.9906258, RATIO_DIVERSITY_GINI: 0.0346892, RATIO_SHANNON_ENTROPY: 0.6104517, RATIO_AVERAGE_POPULARITY: 2.8440791, RATIO_NOVELTY: 0.0258213, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'l1_ratio': 0.02116096505275866, 'topK': 1959, 'alpha': 0.9020935127001702, 'workers': 8, 'mw': 13} - results: PRECISION: 0.3657773, PRECISION_RECALL_MIN_DEN: 0.3670095, RECALL: 0.0635622, MAP: 0.2220781, MAP_MIN_DEN: 0.2225927, MRR: 0.6270287, NDCG: 0.3824209, F1: 0.1083041, HIT_RATE: 0.9623250, ARHR_ALL_HITS: 1.1608845, NOVELTY: 0.0053311, AVERAGE_POPULARITY: 0.6449349, DIVERSITY_MEAN_INTER_LIST: 0.8406336, DIVERSITY_HERFINDAHL: 0.9840572, COVERAGE_ITEM: 0.0627388, COVERAGE_ITEM_CORRECT: 0.0310648, COVERAGE_USER: 0.9994872, COVERAGE_USER_CORRECT: 0.9618315, DIVERSITY_GINI: 0.0047781, SHANNON_ENTROPY: 6.6894474, RATIO_DIVERSITY_HERFINDAHL: 0.9844253, RATIO_DIVERSITY_GINI: 0.0182808, RATIO_SHANNON_ENTROPY: 0.5371520, RATIO_AVERAGE_POPULARITY: 3.2313555, RATIO_NOVELTY: 0.0251083, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'l1_ratio': 0.052130016401515, 'topK': 2915, 'alpha': 0.6078660225835038, 'workers': 8, 'mw': 13} - results: PRECISION: 0.3567764, PRECISION_RECALL_MIN_DEN: 0.3579812, RECALL: 0.0617729, MAP: 0.2154832, MAP_MIN_DEN: 0.2159965, MRR: 0.6206984, NDCG: 0.3740610, F1: 0.1053119, HIT_RATE: 0.9585135, ARHR_ALL_HITS: 1.1382595, NOVELTY: 0.0053169, AVERAGE_POPULARITY: 0.6489328, DIVERSITY_MEAN_INTER_LIST: 0.8405655, DIVERSITY_HERFINDAHL: 0.9840504, COVERAGE_ITEM: 0.0577551, COVERAGE_ITEM_CORRECT: 0.0260258, COVERAGE_USER: 0.9994872, COVERAGE_USER_CORRECT: 0.9580220, DIVERSITY_GINI: 0.0045006, SHANNON_ENTROPY: 6.6400547, RATIO_DIVERSITY_HERFINDAHL: 0.9844184, RATIO_DIVERSITY_GINI: 0.0172191, RATIO_SHANNON_ENTROPY: 0.5331858, RATIO_AVERAGE_POPULARITY: 3.2513864, RATIO_NOVELTY: 0.0250414, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'l1_ratio': 0.13370995255981935, 'topK': 1000, 'alpha': 0.001, 'workers': 8, 'mw': 20} - results: PRECISION: 0.3188228, PRECISION_RECALL_MIN_DEN: 0.3196764, RECALL: 0.0545814, MAP: 0.1763177, MAP_MIN_DEN: 0.1766200, MRR: 0.5385529, NDCG: 0.3243661, F1: 0.0932062, HIT_RATE: 0.9385033, ARHR_ALL_HITS: 0.9619651, NOVELTY: 0.0061694, AVERAGE_POPULARITY: 0.4043869, DIVERSITY_MEAN_INTER_LIST: 0.9587434, DIVERSITY_HERFINDAHL: 0.9958673, COVERAGE_ITEM: 0.2793067, COVERAGE_ITEM_CORRECT: 0.1032172, COVERAGE_USER: 0.9994872, COVERAGE_USER_CORRECT: 0.9380220, DIVERSITY_GINI: 0.0425952, SHANNON_ENTROPY: 9.4385819, RATIO_DIVERSITY_HERFINDAHL: 0.9962398, RATIO_DIVERSITY_GINI: 0.1629677, RATIO_SHANNON_ENTROPY: 0.7579031, RATIO_AVERAGE_POPULARITY: 2.0261237, RATIO_NOVELTY: 0.0290564, 
SearchBayesianSkopt: New best config found. Config 10: {'l1_ratio': 0.01350427151544584, 'topK': 2792, 'alpha': 0.15557018295057778, 'workers': 8, 'mw': 1} - results: PRECISION: 0.3933739, PRECISION_RECALL_MIN_DEN: 0.3947892, RECALL: 0.0694958, MAP: 0.2431368, MAP_MIN_DEN: 0.2438012, MRR: 0.6441133, NDCG: 0.4080163, F1: 0.1181233, HIT_RATE: 0.9702411, ARHR_ALL_HITS: 1.2293839, NOVELTY: 0.0054336, AVERAGE_POPULARITY: 0.5852747, DIVERSITY_MEAN_INTER_LIST: 0.8910984, DIVERSITY_HERFINDAHL: 0.9891033, COVERAGE_ITEM: 0.0543773, COVERAGE_ITEM_CORRECT: 0.0349964, COVERAGE_USER: 0.9994872, COVERAGE_USER_CORRECT: 0.9697436, DIVERSITY_GINI: 0.0074064, SHANNON_ENTROPY: 7.3747679, RATIO_DIVERSITY_HERFINDAHL: 0.9894732, RATIO_DIVERSITY_GINI: 0.0283368, RATIO_SHANNON_ENTROPY: 0.5921821, RATIO_AVERAGE_POPULARITY: 2.9324364, RATIO_NOVELTY: 0.0255909, 
